Java HotSpot(TM) 64-Bit Server VM (25.172-b11) for bsd-amd64 JRE (1.8.0_172-b11), built on Mar 28 2018 15:38:02 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(217468k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.377: [GC (Allocation Failure) 0.377: [ParNew: 34944K->4352K(39296K), 0.5261864 secs] 34944K->29430K(126720K), 0.5262998 secs] [Times: user=1.06 sys=0.03, real=0.53 secs] 
0.957: [GC (Allocation Failure) 0.957: [ParNew: 39296K->4352K(39296K), 0.3121038 secs] 64374K->64661K(126720K), 0.3122036 secs] [Times: user=0.46 sys=0.02, real=0.32 secs] 
1.269: [GC (CMS Initial Mark) [1 CMS-initial-mark: 60309K(87424K)] 66491K(126720K), 0.0033284 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.274: [CMS-concurrent-mark-start]
1.325: [GC (Allocation Failure) 1.325: [ParNew: 39296K->4352K(39296K), 0.2780811 secs] 99605K->97502K(132864K), 0.2781884 secs] [Times: user=0.41 sys=0.01, real=0.28 secs] 
1.653: [GC (Allocation Failure) 1.653: [ParNew: 39296K->4352K(39296K), 0.2460364 secs] 132446K->131164K(166656K), 0.2461287 secs] [Times: user=0.52 sys=0.02, real=0.25 secs] 
1.945: [GC (Allocation Failure) 1.945: [ParNew: 39296K->4352K(39296K), 0.2339179 secs] 166108K->165918K(201600K), 0.2340020 secs] [Times: user=0.67 sys=0.02, real=0.24 secs] 
2.224: [GC (Allocation Failure) 2.224: [ParNew: 39296K->4352K(39296K), 0.2118598 secs] 200862K->200874K(236544K), 0.2119501 secs] [Times: user=0.70 sys=0.01, real=0.21 secs] 
2.483: [GC (Allocation Failure) 2.483: [ParNew: 39296K->4352K(39296K), 0.2404167 secs] 235818K->235608K(271296K), 0.2405007 secs] [Times: user=0.69 sys=0.02, real=0.24 secs] 
2.770: [GC (Allocation Failure) 2.770: [ParNew: 39296K->4352K(39296K), 0.2730986 secs] 270552K->270502K(306048K), 0.2733057 secs] [Times: user=0.67 sys=0.02, real=0.27 secs] 
3.099: [GC (Allocation Failure) 3.099: [ParNew: 39296K->4352K(39296K), 0.2657331 secs] 305446K->305418K(340992K), 0.2658242 secs] [Times: user=0.68 sys=0.02, real=0.26 secs] 
3.415: [GC (Allocation Failure) 3.415: [ParNew: 39296K->4350K(39296K), 0.4041308 secs] 340362K->340342K(375936K), 0.4042229 secs] [Times: user=0.64 sys=0.02, real=0.41 secs] 
3.873: [GC (Allocation Failure) 3.873: [ParNew: 39294K->4350K(39296K), 0.2776046 secs] 375286K->376360K(412032K), 0.2776909 secs] [Times: user=0.46 sys=0.02, real=0.28 secs] 
4.203: [GC (Allocation Failure) 4.203: [ParNew: 39294K->4352K(39296K), 0.2415512 secs] 411304K->410213K(445824K), 0.2416399 secs] [Times: user=0.51 sys=0.02, real=0.24 secs] 
4.488: [GC (Allocation Failure) 4.488: [ParNew: 39296K->4352K(39296K), 0.2661837 secs] 445157K->457115K(492864K), 0.2662692 secs] [Times: user=0.71 sys=0.02, real=0.27 secs] 
4.805: [GC (Allocation Failure) 4.805: [ParNew: 39296K->4352K(39296K), 0.2648946 secs] 492059K->494041K(529728K), 0.2649786 secs] [Times: user=0.71 sys=0.02, real=0.27 secs] 
5.117: [GC (Allocation Failure) 5.117: [ParNew: 39296K->4352K(39296K), 0.2760649 secs] 528985K->531374K(567168K), 0.2761513 secs] [Times: user=0.70 sys=0.02, real=0.28 secs] 
